model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms,algo
GBM_grid_1_AutoML_93_20240930_00046_model_57,9.02942091088524,81.5304419859317,3.07367566416629,0.387453520446902,81.5304419859317,384,,GBM
StackedEnsemble_BestOfFamily_3_AutoML_93_20240930_00046,9.16033571671842,83.9117504429873,3.50272601631399,0.377035930746174,83.9117504429873,110,,StackedEnsemble
StackedEnsemble_BestOfFamily_5_AutoML_93_20240930_00046,9.41125216427623,88.571667299594,3.94669091851725,0.452573352522363,88.571667299594,215,,StackedEnsemble
StackedEnsemble_BestOfFamily_4_AutoML_93_20240930_00046,9.63729648291789,92.8774834996616,5.15026478245848,0.529369654422641,92.8774834996616,514,,StackedEnsemble
GBM_grid_1_AutoML_93_20240930_00046_model_2,9.68489398385621,93.7971714785342,3.39427232617432,0.392887243880842,93.7971714785342,472,,GBM
GBM_grid_1_AutoML_93_20240930_00046_model_54,9.76229178176899,95.3023408323943,3.23736679038903,0.395764986980594,95.3023408323943,354,,GBM
GBM_grid_1_AutoML_93_20240930_00046_model_3,10.0191500624685,100.383367974263,3.4488772911598,0.421739875421242,100.383367974263,284,,GBM
GBM_grid_1_AutoML_93_20240930_00046_model_63,10.3421037559941,106.959110099748,3.2328924637039,0.404148820293303,106.959110099748,462,,GBM
GBM_grid_1_AutoML_93_20240930_00046_model_35,10.3591570457967,107.31213469948,3.33155792583212,0.412018088635315,107.31213469948,265,,GBM
GBM_5_AutoML_93_20240930_00046,10.4138429788405,108.448125587945,3.63896136668906,0.404020336704479,108.448125587945,204,,GBM
